MeshHeading	count	Unconquerables	% Unconquerables	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
Culture Techniques	6	1	0.16666666666666666	5	0.8333333333333334
Cumulative Trauma Disorders	1	1	1.0	0	0.0
Cyanobacteria	1	0	0.0	1	1.0
Cybernetics	7	0	0.0	7	1.0
Cystic Fibrosis	1	0	0.0	1	1.0
Cytodiagnosis	5	0	0.0	5	1.0
Cytogenetics	14	0	0.0	14	1.0
Cytokines	8	0	0.0	8	1.0
Cytological Techniques	17	2	0.1176470588235294	15	0.8823529411764706
Cytoprotection	1	0	0.0	1	1.0
Cytoskeleton	2	0	0.0	2	1.0
Czech Republic	1	0	0.0	1	1.0
Czechoslovakia	3	0	0.0	3	1.0
DNA	4	0	0.0	4	1.0
DNA Damage	1	0	0.0	1	1.0
DNA Methylation	1	0	0.0	1	1.0
DNA Repair	1	0	0.0	1	1.0
DNA, Antisense	1	0	0.0	1	1.0
DNA, Mitochondrial	2	0	0.0	2	1.0
DNA, Recombinant	6	0	0.0	6	1.0
Dairy Products	2	0	0.0	2	1.0
Dairying	5	0	0.0	5	1.0
Dancing	3	2	0.6666666666666666	1	0.3333333333333333
Dangerous Behavior	1	0	0.0	1	1.0
Data Collection	2	0	0.0	2	1.0
Data Interpretation, Statistical	1	0	0.0	1	1.0
Data Mining	2	0	0.0	2	1.0
Data Science	1	0	0.0	1	1.0
Databases, Factual	1	0	0.0	1	1.0
Databases, Genetic	2	0	0.0	2	1.0
Day Care, Medical	1	0	0.0	1	1.0
Deafness	5	0	0.0	5	1.0
Death	3	0	0.0	3	1.0
Decision Making	6	0	0.0	6	1.0
Deglutition	1	0	0.0	1	1.0
Deglutition Disorders	1	0	0.0	1	1.0
Delayed-Action Preparations	1	0	0.0	1	1.0
Delivery of Health Care	153	8	0.052287581699346414	145	0.9477124183006536
Delivery of Health Care, Integrated	2	0	0.0	2	1.0
Delivery, Obstetric	2	0	0.0	2	1.0
Deltaretrovirus	1	0	0.0	1	1.0
Deltaretrovirus Infections	1	0	0.0	1	1.0
Dementia	6	0	0.0	6	1.0
Demography	12	0	0.0	12	1.0
Demyelinating Diseases	1	0	0.0	1	1.0
Denmark	4	0	0.0	4	1.0
Dental Assistants	12	0	0.0	12	1.0
Dental Auxiliaries	1	0	0.0	1	1.0
Dental Bonding	2	0	0.0	2	1.0
Dental Care	6	2	0.3333333333333333	4	0.6666666666666666
Dental Care for Children	1	1	1.0	0	0.0
Dental Care for Disabled	1	0	0.0	1	1.0
Dental Caries	2	0	0.0	2	1.0
Dental Equipment	3	0	0.0	3	1.0
Dental Health Services	1	0	0.0	1	1.0
Dental Health Surveys	1	0	0.0	1	1.0
Dental Hygienists	13	2	0.15384615384615385	11	0.8461538461538461
Dental Implantation	18	2	0.1111111111111111	16	0.8888888888888888
Dental Implants	5	0	0.0	5	1.0
Dental Instruments	6	0	0.0	6	1.0
Dental Materials	15	1	0.06666666666666668	14	0.9333333333333333
Dental Prophylaxis	6	2	0.3333333333333333	4	0.6666666666666666
Dental Prosthesis	2	1	0.5	1	0.5
Dental Pulp Diseases	2	1	0.5	1	0.5
Dental Research	1	0	0.0	1	1.0
Dental Restoration, Permanent	4	2	0.5	2	0.5
Dental Restoration, Temporary	3	2	0.6666666666666666	1	0.3333333333333333
Dental Service, Hospital	3	0	0.0	3	1.0
Dental Staff	1	0	0.0	1	1.0
Dental Technicians	7	0	0.0	7	1.0
Dentistry	660	17	0.02575757575757576	643	0.9742424242424242
Dentistry, Operative	14	2	0.14285714285714285	12	0.8571428571428571
Dentists	17	0	0.0	17	1.0
Dentures	11	1	0.09090909090909093	10	0.9090909090909091
Depression	2	0	0.0	2	1.0
Dermatitis, Atopic	1	1	1.0	0	0.0
Dermatitis, Contact	3	1	0.3333333333333333	2	0.6666666666666666
Dermatitis, Occupational	3	1	0.3333333333333333	2	0.6666666666666666
Dermatologic Agents	3	2	0.6666666666666666	1	0.3333333333333333
Dermatologic Surgical Procedures	6	1	0.16666666666666666	5	0.8333333333333334
Dermatology	91	6	0.06593406593406594	85	0.9340659340659341
Developing Countries	15	1	0.06666666666666668	14	0.9333333333333333
Developmental Biology	21	1	0.047619047619047616	20	0.9523809523809523
Developmental Disabilities	11	0	0.0	11	1.0
Diabetes Complications	4	0	0.0	4	1.0
Diabetes Mellitus	48	1	0.02083333333333333	47	0.9791666666666666
Diabetes Mellitus, Type 1	3	2	0.6666666666666666	1	0.3333333333333333
Diabetes Mellitus, Type 2	1	1	1.0	0	0.0
Diagnosis	8	0	0.0	8	1.0
Diagnosis, Computer-Assisted	3	1	0.3333333333333333	2	0.6666666666666666
Diagnosis, Dual (Psychiatry)	1	0	0.0	1	1.0
Diagnosis, Oral	2	0	0.0	2	1.0
Diagnosis-Related Groups	1	0	0.0	1	1.0
Diagnostic Imaging	51	1	0.0196078431372549	50	0.9803921568627451
Diagnostic Techniques and Procedures	5	1	0.2	4	0.8
Diagnostic Techniques, Cardiovascular	6	0	0.0	6	1.0
Diagnostic Techniques, Endocrine	1	0	0.0	1	1.0
Diagnostic Techniques, Neurological	4	0	0.0	4	1.0
Diagnostic Techniques, Ophthalmological	1	0	0.0	1	1.0
Diagnostic Techniques, Radioisotope	2	0	0.0	2	1.0
Diagnostic Techniques, Respiratory System	1	0	0.0	1	1.0
Diagnostic Techniques, Urological	1	1	1.0	0	0.0
Diagnostic Tests, Routine	1	0	0.0	1	1.0
Dialysis	5	1	0.2	4	0.8
Diarrhea	1	0	0.0	1	1.0
Diet	22	0	0.0	22	1.0
Diet Therapy	6	0	0.0	6	1.0
Diet, Diabetic	1	0	0.0	1	1.0
Diet, Vegetarian	1	0	0.0	1	1.0
Dietary Proteins	1	1	1.0	0	0.0
Dietary Services	1	0	0.0	1	1.0
Dietary Supplements	2	0	0.0	2	1.0
Dietetics	11	2	0.18181818181818185	9	0.8181818181818182
Diffusion of Innovation	1	0	0.0	1	1.0
Digestive System	8	0	0.0	8	1.0
Digestive System Diseases	15	3	0.2	12	0.8
Digestive System Physiological Phenomena	2	0	0.0	2	1.0
Digestive System Surgical Procedures	4	2	0.5	2	0.5
Disabled Children	2	0	0.0	2	1.0
Disabled Persons	22	1	0.045454545454545456	21	0.9545454545454546
Disaster Medicine	1	1	1.0	0	0.0
Disaster Planning	4	2	0.5	2	0.5
Disasters	7	1	0.14285714285714285	6	0.8571428571428571
Disease	10	2	0.2	8	0.8
Disease Management	5	0	0.0	5	1.0
Disease Models, Animal	3	0	0.0	3	1.0
Disease Outbreaks	7	1	0.14285714285714285	6	0.8571428571428571
Disease Susceptibility	3	1	0.3333333333333333	2	0.6666666666666666
Disease Vectors	2	0	0.0	2	1.0
Dissociative Disorders	1	0	0.0	1	1.0
District of Columbia	1	0	0.0	1	1.0
Diving	2	2	1.0	0	0.0
Divorce	3	1	0.3333333333333333	2	0.6666666666666666
Documentation	4	0	0.0	4	1.0
Dominican Republic	1	0	0.0	1	1.0
Dosage Forms	2	0	0.0	2	1.0
Dose-Response Relationship, Drug	1	0	0.0	1	1.0
Down Syndrome	1	0	0.0	1	1.0
Dreams	1	0	0.0	1	1.0
Drosophila	1	0	0.0	1	1.0
Drug Administration Routes	4	0	0.0	4	1.0
Drug Approval	1	0	0.0	1	1.0
Drug Carriers	1	0	0.0	1	1.0
Drug Compounding	2	1	0.5	1	0.5
Drug Delivery Systems	24	0	0.0	24	1.0
Drug Design	33	0	0.0	33	1.0
Drug Discovery	8	1	0.125	7	0.875
Drug Eruptions	1	1	1.0	0	0.0
Drug Evaluation	17	1	0.05882352941176471	16	0.9411764705882353
Drug Evaluation, Preclinical	4	0	0.0	4	1.0
Drug Industry	24	1	0.04166666666666666	23	0.9583333333333334
Drug Interactions	6	0	0.0	6	1.0
Drug Resistance	3	0	0.0	3	1.0
Drug Resistance, Microbial	2	0	0.0	2	1.0
Drug Stability	1	0	0.0	1	1.0
Drug Therapy	99	6	0.060606060606060615	93	0.9393939393939394
Drug Utilization	1	0	0.0	1	1.0
Drug and Narcotic Control	2	0	0.0	2	1.0
Drug-Related Side Effects and Adverse Reactions	16	1	0.0625	15	0.9375
Drugs, Chinese Herbal	1	0	0.0	1	1.0
Drugs, Investigational	8	0	0.0	8	1.0
Dust	2	0	0.0	2	1.0
Dyslexia	2	0	0.0	2	1.0
Ear	3	0	0.0	3	1.0
Ear Diseases	1	0	0.0	1	1.0
Echocardiography	7	0	0.0	7	1.0
Eclecticism, Historical	1	0	0.0	1	1.0
Ecological Systems, Closed	3	1	0.3333333333333333	2	0.6666666666666666
Ecological and Environmental Phenomena	3	0	0.0	3	1.0
Ecology	38	3	0.07894736842105263	35	0.9210526315789473
Economics	5	0	0.0	5	1.0
Economics, Dental	2	0	0.0	2	1.0
Economics, Hospital	17	0	0.0	17	1.0
Economics, Medical	31	0	0.0	31	1.0
Economics, Nursing	1	0	0.0	1	1.0
Economics, Pharmaceutical	4	0	0.0	4	1.0
Ecosystem	4	0	0.0	4	1.0
Ecotoxicology	1	1	1.0	0	0.0
Ecuador	2	0	0.0	2	1.0
Education	11	0	0.0	11	1.0
Education, Continuing	4	0	0.0	4	1.0
Education, Dental	11	0	0.0	11	1.0
Education, Dental, Graduate	1	0	0.0	1	1.0
Education, Medical	40	2	0.05	38	0.95
Education, Medical, Continuing	5	1	0.2	4	0.8
Education, Medical, Graduate	3	1	0.3333333333333333	2	0.6666666666666666
Education, Medical, Undergraduate	1	0	0.0	1	1.0
Education, Nursing	34	1	0.029411764705882356	33	0.9705882352941176
Education, Nursing, Associate	2	0	0.0	2	1.0
Education, Nursing, Continuing	5	0	0.0	5	1.0
Education, Pharmacy	1	0	0.0	1	1.0
Education, Professional	1	0	0.0	1	1.0
Education, Special	3	0	0.0	3	1.0
Education, Veterinary	1	0	0.0	1	1.0
Efficiency	1	0	0.0	1	1.0
Egypt	1	0	0.0	1	1.0
Elbow	1	0	0.0	1	1.0
Elder Abuse	1	0	0.0	1	1.0
Electric Injuries	1	0	0.0	1	1.0
Electric Stimulation	1	0	0.0	1	1.0
Electric Stimulation Therapy	5	0	0.0	5	1.0
Electricity	1	0	0.0	1	1.0
Electrocardiography	4	0	0.0	4	1.0
Electrocardiography, Ambulatory	1	0	0.0	1	1.0
Electrochemistry	2	0	0.0	2	1.0
Electroconvulsive Therapy	1	0	0.0	1	1.0
Electrodiagnosis	4	0	0.0	4	1.0
Electroencephalography	11	0	0.0	11	1.0
Electrolytes	2	0	0.0	2	1.0
Electromagnetic Fields	1	0	0.0	1	1.0
Electromagnetic Phenomena	2	0	0.0	2	1.0
Electromyography	4	0	0.0	4	1.0
Electron Probe Microanalysis	1	0	0.0	1	1.0
Electronic Data Processing	11	0	0.0	11	1.0
Electronics	7	0	0.0	7	1.0
Electronics, Medical	15	0	0.0	15	1.0
Electrophoresis	11	1	0.09090909090909093	10	0.9090909090909091
Electrophoresis, Capillary	1	0	0.0	1	1.0
Electrophoresis, Microchip	1	0	0.0	1	1.0
Electrophysiologic Techniques, Cardiac	2	0	0.0	2	1.0
Electrophysiology	10	0	0.0	10	1.0
Emaciation	1	0	0.0	1	1.0
Embryo Transfer	2	0	0.0	2	1.0
Embryo, Mammalian	1	0	0.0	1	1.0
Embryology	36	2	0.05555555555555555	34	0.9444444444444444
Embryonic Development	4	0	0.0	4	1.0
Emergencies	29	3	0.10344827586206896	26	0.896551724137931
Emergency Medical Services	31	2	0.06451612903225806	29	0.9354838709677419
Emergency Medical Technicians	1	0	0.0	1	1.0
Emergency Medicine	25	3	0.12	22	0.88
Emergency Nursing	6	1	0.16666666666666666	5	0.8333333333333334
Emergency Service, Hospital	4	0	0.0	4	1.0
Emergency Services, Psychiatric	1	0	0.0	1	1.0
Emergency Treatment	8	2	0.25	6	0.75
Emigration and Immigration	2	0	0.0	2	1.0
Emotions	2	0	0.0	2	1.0
Empirical Research	1	0	0.0	1	1.0
Employment	2	0	0.0	2	1.0
Endocrine Glands	14	1	0.07142857142857142	13	0.9285714285714286
Endocrine System	4	1	0.25	3	0.75
Endocrine System Diseases	46	4	0.08695652173913042	42	0.9130434782608695
Endocrinology	66	5	0.07575757575757576	61	0.9242424242424242
Endodontics	16	1	0.0625	15	0.9375
Endoscopes	2	0	0.0	2	1.0
Endoscopy	17	1	0.05882352941176471	16	0.9411764705882353
Endoscopy, Gastrointestinal	1	0	0.0	1	1.0
Endothelium	2	0	0.0	2	1.0
Endotoxins	2	0	0.0	2	1.0
Energy Metabolism	2	0	0.0	2	1.0
Engineering	12	1	0.08333333333333333	11	0.9166666666666666
England	2	1	0.5	1	0.5
Enteral Nutrition	3	0	0.0	3	1.0
Enteric Nervous System	1	1	1.0	0	0.0
Enterobacteriaceae	1	1	1.0	0	0.0
Enterostomy	1	0	0.0	1	1.0
Entomology	15	1	0.06666666666666668	14	0.9333333333333333
Environment	27	0	0.0	27	1.0
Environmental Exposure	24	0	0.0	24	1.0
Environmental Health	81	6	0.07407407407407407	75	0.9259259259259259
Environmental Illness	2	0	0.0	2	1.0
Environmental Medicine	1	0	0.0	1	1.0
Environmental Microbiology	11	0	0.0	11	1.0
Environmental Monitoring	8	0	0.0	8	1.0
Environmental Pollutants	32	1	0.03125	31	0.96875
Environmental Pollution	29	2	0.06896551724137931	27	0.9310344827586207
Enzyme Inhibitors	2	0	0.0	2	1.0
Enzymes	16	2	0.125	14	0.875
Epidemiologic Measurements	1	1	1.0	0	0.0
Epidemiologic Methods	4	1	0.25	3	0.75
Epidemiology	61	5	0.08196721311475409	56	0.9180327868852459
Epigenesis, Genetic	4	0	0.0	4	1.0
Epilepsy	8	0	0.0	8	1.0
Epithelium	1	0	0.0	1	1.0
Equipment Contamination	1	0	0.0	1	1.0
Equipment Design	1	0	0.0	1	1.0
Equipment and Supplies	45	1	0.022222222222222227	44	0.9777777777777777
Equipment and Supplies, Hospital	10	1	0.1	9	0.9
Erectile Dysfunction	1	0	0.0	1	1.0
Ergonomics	16	1	0.0625	15	0.9375
Erythrocytes	1	0	0.0	1	1.0
Escherichia coli	1	1	1.0	0	0.0
Esophageal Diseases	2	0	0.0	2	1.0
Esophagoscopy	1	0	0.0	1	1.0
Esophagus	3	0	0.0	3	1.0
Esthetics	1	0	0.0	1	1.0
Esthetics, Dental	11	1	0.09090909090909093	10	0.9090909090909091
Estrogen Replacement Therapy	1	0	0.0	1	1.0
Ethanol	5	0	0.0	5	1.0
Ethics	12	0	0.0	12	1.0
Ethics, Clinical	2	0	0.0	2	1.0
Ethics, Dental	1	0	0.0	1	1.0
Ethics, Institutional	3	0	0.0	3	1.0
Ethics, Medical	37	2	0.054054054054054064	35	0.9459459459459459
Ethics, Nursing	2	0	0.0	2	1.0
Ethics, Professional	2	0	0.0	2	1.0
Ethics, Research	2	1	0.5	1	0.5
Ethiopia	1	0	0.0	1	1.0
Ethnic Groups	5	1	0.2	4	0.8
Ethnicity	2	0	0.0	2	1.0
Ethnology	3	0	0.0	3	1.0
Ethnopsychology	1	0	0.0	1	1.0
Ethology	12	0	0.0	12	1.0
Eugenics	9	0	0.0	9	1.0
Eukaryota	6	0	0.0	6	1.0
Eukaryotic Cells	5	0	0.0	5	1.0
Europe	11	1	0.09090909090909093	10	0.9090909090909091
Evaluation Studies as Topic	12	2	0.16666666666666666	10	0.8333333333333334
Evidence-Based Emergency Medicine	1	1	1.0	0	0.0
Evidence-Based Medicine	26	4	0.15384615384615385	22	0.8461538461538461
Evolution, Molecular	8	0	0.0	8	1.0
Excipients	1	1	1.0	0	0.0
Exercise	11	1	0.09090909090909093	10	0.9090909090909091
Exercise Therapy	4	1	0.25	3	0.75
Existentialism	1	0	0.0	1	1.0
Exobiology	2	0	0.0	2	1.0
Expert Systems	1	0	0.0	1	1.0
Expert Testimony	1	0	0.0	1	1.0
Explosions	1	0	0.0	1	1.0
Extracellular Matrix	1	0	0.0	1	1.0
Extrachromosomal Inheritance	1	0	0.0	1	1.0
Extracorporeal Circulation	2	1	0.5	1	0.5
Extraterrestrial Environment	10	1	0.1	9	0.9
Extremities	1	0	0.0	1	1.0
Eye	5	0	0.0	5	1.0
Eye Diseases	57	6	0.10526315789473684	51	0.8947368421052632
Eye Injuries	1	0	0.0	1	1.0
Eye Manifestations	4	0	0.0	4	1.0
Eye Movements	1	0	0.0	1	1.0
Face	19	0	0.0	19	1.0
Facial Bones	4	0	0.0	4	1.0
Facial Muscles	1	0	0.0	1	1.0
Facial Pain	3	0	0.0	3	1.0
Facility Design and Construction	5	0	0.0	5	1.0
Family	6	0	0.0	6	1.0
Family Characteristics	1	0	0.0	1	1.0
Family Health	6	0	0.0	6	1.0
Family Planning Services	24	1	0.04166666666666666	23	0.9583333333333334
Family Practice	38	6	0.15789473684210525	32	0.8421052631578947
Family Relations	1	0	0.0	1	1.0
Family Therapy	2	0	0.0	2	1.0
Far East	1	0	0.0	1	1.0
Fats	2	0	0.0	2	1.0
Fatty Acids	1	0	0.0	1	1.0
Fatty Acids, Unsaturated	2	0	0.0	2	1.0
Fecal Incontinence	1	0	0.0	1	1.0
Fee Schedules	1	0	0.0	1	1.0
Feeding Behavior	5	0	0.0	5	1.0
Feeding and Eating Disorders	5	0	0.0	5	1.0
Fees and Charges	1	0	0.0	1	1.0
Fees, Medical	3	0	0.0	3	1.0
Female Urogenital Diseases	9	1	0.1111111111111111	8	0.8888888888888888
Fertility	25	2	0.08	23	0.92
Fertilization	1	0	0.0	1	1.0
Fertilization in Vitro	2	0	0.0	2	1.0
Fetal Development	4	0	0.0	4	1.0
Fetal Diseases	11	1	0.09090909090909093	10	0.9090909090909091
Fetus	9	1	0.1111111111111111	8	0.8888888888888888
Fibrinolysis	2	0	0.0	2	1.0
Financial Management	8	0	0.0	8	1.0
Financial Management, Hospital	3	0	0.0	3	1.0
Financing, Government	3	0	0.0	3	1.0
Financing, Organized	4	0	0.0	4	1.0
Financing, Personal	1	0	0.0	1	1.0
Finland	5	0	0.0	5	1.0
First Aid	1	0	0.0	1	1.0
Fish Diseases	2	1	0.5	1	0.5
Fisheries	1	0	0.0	1	1.0
Fishes	4	1	0.25	3	0.75
Florida	5	0	0.0	5	1.0
Flow Cytometry	5	0	0.0	5	1.0
Fluid Therapy	3	0	0.0	3	1.0
Fluorescence	2	0	0.0	2	1.0
Fluoridation	1	0	0.0	1	1.0
Food	39	3	0.07692307692307693	36	0.9230769230769231
Food Additives	8	2	0.25	6	0.75
Food Analysis	12	4	0.3333333333333333	8	0.6666666666666666
Food Contamination	8	1	0.125	7	0.875
Food Handling	1	0	0.0	1	1.0
Food Industry	2	0	0.0	2	1.0
Food Inspection	2	1	0.5	1	0.5
Food Microbiology	6	1	0.16666666666666666	5	0.8333333333333334
Food Parasitology	1	0	0.0	1	1.0
Food Preservation	1	0	0.0	1	1.0
Food Service, Hospital	4	0	0.0	4	1.0
Food Services	1	0	0.0	1	1.0
Food Supply	3	1	0.3333333333333333	2	0.6666666666666666
Food Technology	8	1	0.125	7	0.875
Food, Genetically Modified	1	0	0.0	1	1.0
Food-Processing Industry	9	0	0.0	9	1.0
Foodborne Diseases	1	0	0.0	1	1.0
Foot	7	0	0.0	7	1.0
Foot Deformities	1	0	0.0	1	1.0
Foot Diseases	6	0	0.0	6	1.0
Foot Injuries	3	0	0.0	3	1.0
Forensic Dentistry	3	1	0.3333333333333333	2	0.6666666666666666
Forensic Genetics	1	0	0.0	1	1.0
Forensic Medicine	32	3	0.09375	29	0.90625
Forensic Psychiatry	7	1	0.14285714285714285	6	0.8571428571428571
Forensic Toxicology	1	0	0.0	1	1.0
Forms and Records Control	2	0	0.0	2	1.0
Foundations	3	0	0.0	3	1.0
Frail Elderly	1	0	0.0	1	1.0
France	9	0	0.0	9	1.0
Free Radicals	6	0	0.0	6	1.0
Freeze Drying	1	0	0.0	1	1.0
Freezing	1	1	1.0	0	0.0
Frontotemporal Lobar Degeneration	1	0	0.0	1	1.0
Functional Laterality	1	0	0.0	1	1.0
Fund Raising	5	0	0.0	5	1.0
Fungi	13	0	0.0	13	1.0
GTP Phosphohydrolases	1	0	0.0	1	1.0
Gait	1	0	0.0	1	1.0
Gambling	1	0	0.0	1	1.0
Gases	2	0	0.0	2	1.0
Gastroenterology	65	5	0.07692307692307693	60	0.9230769230769231
Gastrointestinal Diseases	39	2	0.05128205128205128	37	0.9487179487179487
Gastrointestinal Motility	1	1	1.0	0	0.0
Gastrointestinal Neoplasms	2	0	0.0	2	1.0
Gastrointestinal Tract	1	0	0.0	1	1.0
Gastroscopy	1	0	0.0	1	1.0
Gene Amplification	2	0	0.0	2	1.0
Gene Editing	1	0	0.0	1	1.0
Gene Expression	6	1	0.16666666666666666	5	0.8333333333333334
Gene Expression Regulation	6	1	0.16666666666666666	5	0.8333333333333334
Gene Expression Regulation, Developmental	1	0	0.0	1	1.0
Gene Expression Regulation, Plant	1	0	0.0	1	1.0
Gene Frequency	1	0	0.0	1	1.0
Gene Library	1	0	0.0	1	1.0
Gene Rearrangement	1	0	0.0	1	1.0
Gene Transfer Techniques	4	0	0.0	4	1.0
General Practice	2	1	0.5	1	0.5
General Practice, Dental	2	1	0.5	1	0.5
General Surgery	276	12	0.043478260869565216	264	0.9565217391304348
Genes	10	0	0.0	10	1.0
Genes, Regulator	1	0	0.0	1	1.0
Genes, Viral	1	0	0.0	1	1.0
Genetic Code	1	0	0.0	1	1.0
Genetic Counseling	3	0	0.0	3	1.0
Genetic Diseases, Inborn	8	1	0.125	7	0.875
Genetic Engineering	18	0	0.0	18	1.0
Genetic Markers	2	0	0.0	2	1.0
Genetic Phenomena	13	1	0.07692307692307693	12	0.9230769230769231
Genetic Research	2	0	0.0	2	1.0
Genetic Techniques	22	0	0.0	22	1.0
Genetic Testing	3	0	0.0	3	1.0
Genetic Therapy	17	0	0.0	17	1.0
Genetics	63	3	0.047619047619047616	60	0.9523809523809523
Genetics, Behavioral	3	0	0.0	3	1.0
Genetics, Medical	45	1	0.022222222222222227	44	0.9777777777777777
Genetics, Microbial	3	0	0.0	3	1.0
Genetics, Population	1	0	0.0	1	1.0
Genital Diseases, Female	39	2	0.05128205128205128	37	0.9487179487179487
Genital Diseases, Male	11	2	0.18181818181818185	9	0.8181818181818182
Genital Neoplasms, Female	5	0	0.0	5	1.0
Genital Neoplasms, Male	1	0	0.0	1	1.0
Genitalia, Female	3	0	0.0	3	1.0
Genitalia, Male	6	0	0.0	6	1.0
Genome	11	0	0.0	11	1.0
Genome, Human	3	0	0.0	3	1.0
Genome, Microbial	1	0	0.0	1	1.0
Genome, Plant	1	0	0.0	1	1.0
Genomic Library	1	0	0.0	1	1.0
Genomics	42	1	0.023809523809523808	41	0.9761904761904762
Geographic Information Systems	2	0	0.0	2	1.0
Geography	2	0	0.0	2	1.0
Geology	2	0	0.0	2	1.0
Georgia	3	0	0.0	3	1.0
Geriatric Dentistry	4	0	0.0	4	1.0
Geriatric Nursing	10	0	0.0	10	1.0
Geriatric Psychiatry	4	0	0.0	4	1.0
Geriatrics	69	4	0.05797101449275361	65	0.9420289855072463
Germ Cells	2	0	0.0	2	1.0
Germany	6	0	0.0	6	1.0
Germany, West	4	0	0.0	4	1.0
Glaucoma	3	0	0.0	3	1.0
Global Health	21	0	0.0	21	1.0
Glycerides	1	0	0.0	1	1.0
Glycolipids	1	0	0.0	1	1.0
Glycoproteins	1	0	0.0	1	1.0
Gold Alloys	1	0	0.0	1	1.0
Gonadal Steroid Hormones	1	0	0.0	1	1.0
Government	5	0	0.0	5	1.0
Government Agencies	1	0	0.0	1	1.0
Government Programs	1	0	0.0	1	1.0
Granuloma	2	0	0.0	2	1.0
Gravitation	2	0	0.0	2	1.0
Greece	2	0	0.0	2	1.0
Group Practice	9	0	0.0	9	1.0
Growth	23	2	0.08695652173913042	21	0.9130434782608695
Growth Disorders	2	0	0.0	2	1.0
Growth Hormone	1	0	0.0	1	1.0
Growth Substances	6	0	0.0	6	1.0
Growth and Development	1	0	0.0	1	1.0
Guided Tissue Regeneration	3	0	0.0	3	1.0
Guyana	1	0	0.0	1	1.0
Gymnastics	1	0	0.0	1	1.0
Gynecologic Surgical Procedures	1	0	0.0	1	1.0
Gynecology	128	4	0.03125	124	0.96875
HIV	1	0	0.0	1	1.0
HIV Infections	54	2	0.037037037037037035	52	0.9629629629629629
HLA Antigens	1	0	0.0	1	1.0
HLA-D Antigens	2	0	0.0	2	1.0
Hallucinogens	2	0	0.0	2	1.0
Hand	18	1	0.05555555555555555	17	0.9444444444444444
Hand Deformities	2	0	0.0	2	1.0
Hand Injuries	4	1	0.25	3	0.75
Handwriting	1	0	0.0	1	1.0
Harm Reduction	1	0	0.0	1	1.0
Harmful Algal Bloom	1	0	0.0	1	1.0
Hawaii	6	1	0.16666666666666666	5	0.8333333333333334
Hazardous Substances	6	0	0.0	6	1.0
Hazardous Waste	5	0	0.0	5	1.0
Head	14	2	0.14285714285714285	12	0.8571428571428571
Head and Neck Neoplasms	1	0	0.0	1	1.0
Headache	9	0	0.0	9	1.0
Health	37	1	0.027027027027027032	36	0.972972972972973
Health Behavior	5	0	0.0	5	1.0
Health Care Costs	12	0	0.0	12	1.0
Health Care Reform	4	1	0.25	3	0.75
Health Care Sector	4	1	0.25	3	0.75
Health Education	35	0	0.0	35	1.0
Health Education, Dental	2	0	0.0	2	1.0
Health Equity	1	1	1.0	0	0.0
Health Expenditures	2	0	0.0	2	1.0
Health Facilities	10	0	0.0	10	1.0
Health Facility Administration	14	0	0.0	14	1.0
Health Facility Administrators	1	0	0.0	1	1.0
Health Facility Environment	6	0	0.0	6	1.0
Health Facility Planning	3	0	0.0	3	1.0
Health Inequities	1	1	1.0	0	0.0
Health Knowledge, Attitudes, Practice	3	1	0.3333333333333333	2	0.6666666666666666
Health Literacy	1	0	0.0	1	1.0
Health Maintenance Organizations	9	0	0.0	9	1.0
Health Occupations	12	0	0.0	12	1.0
Health Personnel	8	0	0.0	8	1.0
Health Physics	7	1	0.14285714285714285	6	0.8571428571428571
Health Planning	19	0	0.0	19	1.0
Health Planning Support	4	0	0.0	4	1.0
Health Policy	65	3	0.04615384615384616	62	0.9538461538461539
Health Promotion	26	3	0.1153846153846154	23	0.8846153846153846
Health Resorts	2	1	0.5	1	0.5
Health Resources	4	0	0.0	4	1.0
Health Services	46	1	0.021739130434782608	45	0.9782608695652174
Health Services Accessibility	11	0	0.0	11	1.0
Health Services Administration	36	1	0.027777777777777776	35	0.9722222222222222
Health Services Needs and Demand	1	0	0.0	1	1.0
Health Services Research	20	0	0.0	20	1.0
Health Services for the Aged	15	1	0.06666666666666668	14	0.9333333333333333
Health Status	4	0	0.0	4	1.0
Health Status Indicators	6	0	0.0	6	1.0
Health Surveys	10	5	0.5	5	0.5
Health Systems Agencies	1	0	0.0	1	1.0
Health Systems Plans	1	0	0.0	1	1.0
Health Workforce	18	0	0.0	18	1.0
Healthcare Disparities	4	0	0.0	4	1.0
Healthy Aging	1	0	0.0	1	1.0
Hearing	15	0	0.0	15	1.0
Hearing Aids	3	0	0.0	3	1.0
Hearing Disorders	24	0	0.0	24	1.0
Hearing Loss, Noise-Induced	1	0	0.0	1	1.0
Heart	15	0	0.0	15	1.0
Heart Arrest	1	0	0.0	1	1.0
Heart Defects, Congenital	3	0	0.0	3	1.0
Heart Diseases	20	2	0.1	18	0.9
Heart Failure	10	0	0.0	10	1.0
Heart Function Tests	2	0	0.0	2	1.0
Heart Transplantation	2	0	0.0	2	1.0
Heart Valve Diseases	1	0	0.0	1	1.0
Heat-Shock Response	1	0	0.0	1	1.0
Helicobacter	1	0	0.0	1	1.0
Helicobacter Infections	1	0	0.0	1	1.0
Helminths	2	0	0.0	2	1.0
Hematologic Agents	4	0	0.0	4	1.0
Hematologic Diseases	31	4	0.12903225806451613	27	0.8709677419354839
Hematologic Neoplasms	5	1	0.2	4	0.8
