NlmUniqueID	MeshHeading	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid
0400647	Ophthalmology					
1264603	Pediatrics					
0255452	Psychiatry					
0256714	Neurology					
0256714	Psychiatry					
0372515	Radiology					
0347361	Tuberculosis					
59030730R	Mexico					
59030730R	Statistics as Topic					
57630560R	Library Science					
101631218	Access to Information	yes	0.0	yes	yes	yes
101631218	Data Mining	yes	0.0	yes	yes	yes
101631218	Information Dissemination	yes	0.0	yes	yes	yes
101631218	Information Management	yes	0.0	yes	yes	yes
0373117	Microbiology					
8904648	Diagnostic Imaging					
7601504	Blood Transfusion					
7601504	Hematology					
9005846	Orthodontics					
8803009	Virology					
9607281	Ocular Motility Disorders					
9607281	Strabismus					
9607281	Vision, Binocular					
101556982	Ocular Motility Disorders					
101556982	Strabismus					
101556982	Vision, Binocular					
101512484	Chemistry Techniques, Analytical	yes	0.0	yes	yes	yes
101512484	Pharmaceutical Preparations	yes	0.0	yes	yes	yes
101512484	Technology, Pharmaceutical	yes	0.0	yes	yes	yes
101518332	Cell Physiological Phenomena					
101518332	Cells					
101518332	Cellular Structures					
9438655	Cells					
9438655	Microscopy, Electron					
0372516	Biochemistry	yes	12.0	yes	yes	yes
0372516	Biophysics	yes	12.0	yes	yes	yes
8606068	Biochemistry	yes	0.0	yes	yes	yes
8606068	Cell Biology	yes	0.0	yes	yes	yes
7611939	Biochemistry					
7611939	Medicine					
0416171	Biochemistry					
0416171	Biology					
0416171	Molecular Biology					
0126611	Molecular Biology	yes	12.0	yes	yes	yes
8100311	Biochemistry					
2984726R	Biochemistry	yes	12.0	yes	yes	yes
0151424	Biochemistry					
0151424	Medicine					
9610305	Biochemistry	yes	0.0	yes		
9610305	Chemistry, Clinical	yes	0.0	yes		
8605718	Biochemistry					
8605718	Medicine					
8605718	Metabolism					
100970605	Biochemistry	yes	12.0	yes	yes	yes
100970605	Molecular Biology	yes	12.0	yes	yes	yes
9306673	Biochemistry					
9306673	Molecular Biology					
9508702	Biochemistry					
9508702	Clinical Medicine					
9508702	Metabolic Diseases					
9508702	Molecular Biology					
0101032	Biochemistry	yes	12.0	yes	yes	yes
0101032	Chemistry, Pharmaceutical	yes	12.0	yes	yes	yes
7506896	Biochemistry					
7506897	Biochemistry	yes	12.0	yes	yes	yes
15540070R	Biochemistry					
0370623	Biochemistry	yes	12.0	yes	yes	yes
0376536	Biochemistry	yes	12.0	yes		
0217513	Biochemistry					
0217513	Biophysics					
101731706	Biochemistry	yes	12.0	yes	yes	yes
101731706	Biophysics	yes	12.0	yes	yes	yes
101731706	Cell Membrane	yes	12.0	yes	yes	yes
101731706	Energy Metabolism	yes	12.0	yes	yes	yes
101731713	Cell Membrane	yes	12.0	yes	yes	yes
101731726	Biochemistry	yes	12.0	yes	yes	yes
101731726	Biophysics	yes	12.0	yes	yes	yes
101731723	Genes, Regulator	yes	12.0	yes	yes	yes
101731730	Molecular Biology	yes	12.0	yes	yes	yes
101731727	Lipids	yes	12.0	yes	yes	yes
101731731	Cells	yes	12.0	yes	yes	yes
101731731	Molecular Biology	yes	12.0	yes	yes	yes
101731734	Enzymes	yes	12.0	yes	yes	yes
101731734	Proteins	yes	12.0	yes	yes	yes
101731734	Proteomics	yes	12.0	yes	yes	yes
9806362	Neoplasms	yes	12.0	yes	yes	yes
1264604	Biochemistry	yes	12.0	yes	yes	yes
9010319	Biochemistry	yes	12.0	yes	yes	yes
9712121	Infection Control					
9712121	Infections					
9712121	Microbiology					
9100834	Biodegradation, Environmental	yes	12.0	yes	yes	yes
101500303	Biological Evolution	yes	18.0	yes	yes	yes
101500303	Demography	yes	18.0	yes	yes	yes
101500303	Sociobiology	yes	18.0	yes	yes	yes
9705305	Biological Products	yes	12.0	yes	yes	yes
9705305	Genetic Therapy	yes	12.0	yes	yes	yes
9705305	Immune System Diseases	yes	12.0	yes	yes	yes
9705305	Immunotherapy	yes	12.0	yes	yes	yes
0372520	Biochemistry					
0372520	Biology					
0372520	Biophysics					
9888877	Biochemistry					
9888877	Electrochemistry					
9888877	Energy Metabolism					
100953583	Biochemistry	yes	12.0	yes	yes	yes
100953583	Electrochemistry	yes	12.0	yes	yes	yes
8008281	Electromagnetic Phenomena	yes	12.0	yes	yes	yes
8008281	Electrophysiology	yes	12.0	yes	yes	yes
101525147	Bioengineering					
101525147	DNA, Recombinant					
101525147	Genetic Engineering					
101581063	Bioengineering					
101581063	DNA, Recombinant					
101581063	Genetic Engineering					
8510851	Cell Biology	yes	12.0	yes	yes	yes
8510851	Growth	yes	12.0	yes	yes	yes
8510851	Molecular Biology	yes	12.0	yes	yes	yes
8704792	Bioethics	yes	24.0	yes	yes	yes
8008852	Bioethics					
8008852	Ethics, Medical					
8008852	Human Rights					
101521964	Bioengineering	yes	12.0	yes	yes	yes
101521964	Biomedical Engineering	yes	12.0	yes	yes	yes
101521964	Tissue Engineering	yes	12.0	yes	yes	yes
8807441	Biochemistry	yes	12.0	yes	yes	yes
8807441	Nutritional Physiological Phenomena	yes	12.0	yes	yes	yes
8807441	Trace Elements	yes	12.0	yes	yes	yes
8807441	Vitamins	yes	12.0	yes	yes	yes
7605548	Behavior Therapy					
7605548	Biofeedback, Psychology					
7605548	Psychophysiology					
0372666	Biophysics					
9200331	Biodegradation, Environmental	yes	12.0	yes	yes	yes
9200331	Environmental Microbiology	yes	12.0	yes	yes	yes
9200331	Water Microbiology	yes	12.0	yes	yes	yes
100930043	Aging	yes	12.0	yes	yes	yes
100930043	Cellular Senescence	yes	12.0	yes	yes	yes
100930043	Geriatrics	yes	12.0	yes	yes	yes
9808944	Computational Biology	yes	12.0	yes	yes	yes
9808944	Genome	yes	12.0	yes	yes	yes
1305411	Biochemistry					
1305411	Chemistry					
101292902	Biomedical Engineering	yes	12.0	yes	yes	yes
101292902	Biomimetics	yes	12.0	yes	yes	yes
101275679	Biocompatible Materials	yes	0.0	yes	yes	yes
0372667	Biochemistry					
15610210R	Biology					
15610210R	Microbiology					
15610210R	Veterinary Medicine					
101544020	Biology	yes	0.0	yes	yes	yes
9600628	Bone Marrow Transplantation					
9600628	Hematopoietic Stem Cell Transplantation					
2984727R	Biology	yes	6.0	yes	yes	yes
2984727R	Marine Biology	yes	6.0	yes	yes	yes
7513560	Biology					
8108529	Cell Biology	yes	12.0	yes	yes	yes
9700112	Biochemistry	yes	12.0	yes	yes	yes
8503054	Biochemistry					
7502533	Bionics	yes	12.0	yes	yes	yes
7502533	Cybernetics	yes	12.0	yes	yes	yes
101258412	Biology	yes	0.0	yes		
101738236	Biological Phenomena	yes	12.0	yes	yes	yes
101738236	Biological Science Disciplines	yes	12.0	yes	yes	yes
0146364	Biology					
0146364	Gastroenterology					
8213039	Biology					
8213039	Psychology, Social					
8213039	Sociology					
0372521	Anatomy					
0372521	Pathology					
0372521	Physiology					
101247722	Biology	yes	0.0	yes	yes	yes
101247722	Biomedical Research	yes	0.0	yes	yes	yes
0234431	Biochemistry					
0234431	Biology					
0234431	Biophysics					
0234431	Molecular Biology					
0234432	Biochemistry					
0234432	Pharmacology					
9102982	Mass Spectrometry					
15610220R	Medicine					
15610100R	Biology					
15610100R	Medicine					
15610100R	Therapeutics					
0347257	Biology					
0347257	Medicine					
0356566	Biology					
0356566	Medicine					
7702263	Radiation Effects					
7702263	Research					
8915662	Biology					
8915662	Metals					
0067712	Embryology					
0067712	Fetal Diseases					
0067712	Infant, Newborn, Diseases					
0247551	Fetus					
0247551	Infant, Newborn					
101578018	Biological Phenomena	yes	0.0	yes		
101578018	Biology	yes	0.0	yes		
9311984	Biochemistry					
9311984	Pharmacology					
9311984	Toxicology					
0213264	Psychiatry	yes	12.0	yes	yes	yes
0213264	Psychopharmacology	yes	12.0	yes	yes	yes
0213264	Psychophysiology	yes	12.0	yes	yes	yes
101671285	Mental Disorders	yes	12.0	yes	yes	yes
101671285	Mental Processes	yes	12.0	yes	yes	yes
101671285	Neuroimaging	yes	12.0	yes	yes	yes
0375566	Psychophysiology	yes	12.0	yes	yes	yes
0207224	Reproduction	yes	12.0	yes	yes	yes
9308271	Biological Science Disciplines	yes	0.0	yes		
9815758	Biological Science Disciplines	yes	0.0	yes	yes	yes
9815758	Nursing Research	yes	0.0	yes	yes	yes
8302758	Fetus					
8302758	Perinatology					
8302758	Pregnancy					
8302758	Pregnancy Complications					
0414576	Biology	yes	12.0	yes	yes	yes
0101241	Biology					
100972048	Cosmic Radiation					
100972048	Exobiology					
100972048	Extraterrestrial Environment					
100972048	Space Flight					
101548963	Biological Phenomena	yes	0.0	yes		
101548963	Sex Differentiation	yes	0.0	yes		
9210083	Cell Communication					
9210083	Signal Transduction					
9808792	Cell Communication					
9808792	Receptors, Cell Surface					
9808792	Signal Transduction					
8807439	Anatomy					
8807439	Morphogenesis					
7911509	Trace Elements	yes	12.0	yes	yes	yes
0417426	Biology					
0370624	Biology					
0376537	Biology					
0376537	Research					
9004494	Biological Products	yes	12.0	yes	yes	yes
9108399	Biology					
7708048	Biometry	yes			yes	yes
0372670	Biometry					
100892849	Biological Science Disciplines	yes	12.0	yes	yes	yes
100892849	Macromolecular Substances	yes	12.0	yes	yes	yes
100892849	Polymers	yes	12.0	yes	yes	yes
101312535	Biomarkers	yes	0.0	yes	yes	yes
9606000	Genetic Markers	yes	12.0	yes	yes	yes
8802605	Artificial Organs					
8802605	Biocompatible Materials					
8802605	Biotechnology					
8802605	Membranes, Artificial					
9111988	Biocompatible Materials					
9111988	Biological Products					
9111988	Biotechnology					
0356630	Artificial Organs					
0356630	Biomedical Engineering					
101593571	Biocompatible Materials	yes	12.0	yes	yes	yes
8100316	Biocompatible Materials	yes	12.0	yes	yes	yes
101564974	Biocompatible Materials					
101564974	Biomimetic Materials					
101135325	Biomechanical Phenomena	yes	12.0	yes	yes	yes
101135325	Models, Biological	yes	12.0	yes	yes	yes
8304435	Biochemistry					
8304435	Biology					
8304435	Medicine					
8610241	Biology	yes	12.0	yes	yes	yes
8610241	Chromatography	yes	12.0	yes	yes	yes
8610241	Medicine	yes	12.0	yes	yes	yes
0353474	Audiovisual Aids					
0353474	Communication					
0353474	Information Systems					
0353474	Medicine					
0076362	Biomedical Engineering					
0076362	Biomedical Technology					
0076362	Equipment and Supplies					
0140672	Biomedical Engineering					
0140672	Equipment and Supplies					
101147518	Biomedical Engineering	yes	0.0	yes		
8603224	Mass Spectrometry					
8909524	Environment	yes	12.0	yes	yes	yes
8909524	Environmental Exposure	yes	12.0	yes	yes	yes
8909524	Environmental Health	yes	12.0	yes	yes	yes
0003354	Electronics					
0003354	Engineering					
0003354	Equipment and Supplies					
8905560	Biomedical Engineering					
8905560	Biomedical Technology					
8905560	Equipment and Supplies					
101599820	Medicine					
101196966	Biochemistry					
101196966	Biomedical Research					
101196966	Russia					
0430246	Mass Spectrometry					
101285195	Biocompatible Materials	yes	12.0	yes	yes	yes
9104021	Biocompatible Materials	yes	0.0	yes	yes	yes
9104021	Biomedical Engineering	yes	0.0	yes	yes	yes
9104021	Biotechnology	yes	0.0	yes	yes	yes
100887374	Biocompatible Materials	yes	12.0	yes	yes	yes
100887374	Biomedical Engineering	yes	12.0	yes	yes	yes
100887374	Biotechnology	yes	12.0	yes	yes	yes
101140142	Clinical Medicine					
101140142	Medicine					
9506699	Nucleic Acids					
9506699	Peptides					
9506699	Proteins					
8213295	Biology	yes	0.0	yes		
8213295	Drug Therapy	yes	0.0	yes		
8213295	Medicine	yes	0.0	yes		
8213295	Research	yes	0.0	yes		
101675002	Biomedical Engineering	yes	12.0	yes	yes	yes
101675002	Biophysical Phenomena	yes	12.0	yes	yes	yes
15610300R	Biology					
15610300R	Medicine					
8100317	Research					
101600173	Biomedical Research	yes	0.0	yes		
101600173	Biotechnology	yes	0.0	yes		
9010320	Biology					
9010320	Medicine					
0140524	Biophysics					
0140524	Equipment and Supplies					
0140524	Medicine					
0140524	Research					
9104836	Biomedical Engineering					
9104836	Electronics, Medical					
9104836	Equipment and Supplies					
9104836	Technology					
1262533	Biomedical Engineering	yes	12.0	yes	yes	yes
1262533	Electronics, Medical	yes	12.0	yes	yes	yes
8205605	Medicine					
0361342	Biology					
0361342	Medicine					
0361342	Research					
2984282R	Membranes					
9208478	Biochemistry	yes	12.0	yes	yes	yes
9208478	Biology	yes	12.0	yes	yes	yes
9208478	Ions	yes	12.0	yes	yes	yes
9208478	Metals	yes	12.0	yes	yes	yes
0370625	Biometry	yes			yes	yes
0413661	Biometry					
101518829	Biochemical Phenomena	yes	0.0	yes		
101518829	Genetic Phenomena	yes	0.0	yes		
100928062	Biotechnology					
100928062	Genetic Engineering					
100928062	Molecular Biology					
101472371	Nuclear Magnetic Resonance, Biomolecular	yes	12.0	yes	yes	yes
101596414	Biochemical Phenomena	yes	0.0	yes		
1303703	Biochemistry	yes	12.0	yes	yes	yes
1303703	Chemistry	yes	12.0	yes	yes	yes
7804941	Biochemistry					
7804941	Biological Science Disciplines					
9413298	Biochemistry	yes	12.0	yes	yes	yes
9413298	Chemistry, Clinical	yes	12.0	yes	yes	yes
9413298	Chemistry, Organic	yes	12.0	yes	yes	yes
9413298	Chemistry, Pharmaceutical	yes	12.0	yes	yes	yes
9107377	Biochemistry	yes	12.0	yes	yes	yes
9107377	Chemistry, Organic	yes	12.0	yes	yes	yes
9107377	Chemistry, Pharmaceutical	yes	12.0	yes	yes	yes
7911226	Biopharmaceutics	yes	12.0	yes	yes	yes
7911226	Pharmaceutical Preparations	yes	12.0	yes	yes	yes
0403171	Biochemistry	yes	24.0	yes	yes	yes
0403171	Chemistry, Physical	yes	24.0	yes	yes	yes
0370626	Biophysics	yes	12.0	yes	yes	yes
7502020	Biophysics					
0376540	Biophysics					
0413060	Biophysics					
23630410R	Biochemistry					
0372525	Nucleic Acids	yes	12.0	yes	yes	yes
0372525	Peptides	yes	12.0	yes	yes	yes
0372525	Polymers	yes	12.0	yes	yes	yes
0372525	Polysaccharides	yes	12.0	yes	yes	yes
0372525	Proteins	yes	12.0	yes	yes	yes
101507284	Preservation, Biological	yes	0.0	yes	yes	yes
101507284	Tissue Banks	yes	0.0	yes	yes	yes
101088505	Biological Products	yes	12.0	yes	yes	yes
101088505	Biomedical Engineering	yes	12.0	yes	yes	yes
101088505	Biotechnology	yes	12.0	yes	yes	yes
8601086	Biomedical Engineering					
8601086	Biomedical Technology					
9889523	Biophysics	yes	12.0	yes	yes	yes
9889523	Ecology	yes	12.0	yes	yes	yes
9889523	Environment	yes	12.0	yes	yes	yes
9889523	Technology	yes	12.0	yes	yes	yes
9889523	Waste Management	yes	12.0	yes	yes	yes
0372526	Biophysics	yes	0.0	yes	yes	yes
0372526	Body Fluids	yes	0.0	yes	yes	yes
8503530	Rheology					
15620020R	Biology					
9205717	Biochemistry	yes	12.0	yes	yes	yes
9205717	Biological Science Disciplines	yes	12.0	yes	yes	yes
9205717	Biotechnology	yes	12.0	yes	yes	yes
8102797	Cell Biology	yes	0.0	yes		
8102797	Molecular Biology	yes	0.0	yes		
101502754	Biology					
0231737	Biology					
101156085	Biological Warfare					
101156085	Bioterrorism					
101156085	Policy Making					
101156085	Security Measures					
9001289	Biochemistry	yes	12.0	yes	yes	yes
9001289	Biosensing Techniques	yes	12.0	yes	yes	yes
9001289	Biotechnology	yes	12.0	yes	yes	yes
9001289	Electronics, Medical	yes	12.0	yes	yes	yes
8601088	Biomedical Engineering					
8601088	Electronics, Medical					
8601088	Environmental Monitoring					
8601088	Monitoring, Physiologic					
101609191	Biosensing Techniques	yes	0.0	yes		
9011423	Biotechnology					
9011423	Molecular Biology					
9605413	Molecular Biology					
9605413	Spectrum Analysis					
100897327	Biometry	yes	24.0	yes	yes	yes
0430773	Biological Evolution	yes	12.0	yes	yes	yes
0430773	Biology	yes	12.0	yes	yes	yes
9107378	Histocytochemistry	yes	12.0	yes	yes	yes
9107378	Histological Techniques	yes	12.0	yes	yes	yes
9107378	Staining and Labeling	yes	12.0	yes	yes	yes
8306785	Biomedical Technology	yes	0.0	yes		
8306785	Clinical Laboratory Techniques	yes	0.0	yes		
8306785	Research	yes	0.0	yes		
8403708	Biochemistry	yes	12.0	yes	yes	yes
8403708	Biomedical Engineering	yes	12.0	yes	yes	yes
8403708	Patents as Topic	yes	12.0	yes	yes	yes
8403708	Technology	yes	12.0	yes	yes	yes
9616443	Biotechnology					
9616443	Genetic Engineering					
9616443	Recombinant Proteins					
8609465	Biochemistry	yes	12.0	yes	yes	yes
8609465	Genetic Techniques	yes	12.0	yes	yes	yes
8609465	Microbiological Techniques	yes	12.0	yes	yes	yes
7502021	Biochemistry	yes	12.0	yes	yes	yes
7502021	Biotechnology	yes	12.0	yes	yes	yes
7502021	Microbiology	yes	12.0	yes	yes	yes
1302775	Biomedical Engineering					
1302775	Technology					
9200334	Biotechnology					
8510274	Biomedical Engineering	yes	12.0	yes	yes	yes
8510274	Environmental Microbiology	yes	12.0	yes	yes	yes
8510274	Genetic Engineering	yes	12.0	yes	yes	yes
8510274	Microbiological Techniques	yes	12.0	yes	yes	yes
8510274	Technology	yes	12.0	yes	yes	yes
101265833	Biotechnology	yes	12.0	yes	yes	yes
8008051	Biochemistry	yes	12.0	yes	yes	yes
8008051	Biomedical Engineering	yes	12.0	yes	yes	yes
8008051	Microbiology	yes	12.0	yes	yes	yes
8506292	Biomedical Engineering	yes	12.0	yes	yes	yes
8506292	Food Technology	yes	12.0	yes	yes	yes
8506292	Technology, Pharmaceutical	yes	12.0	yes	yes	yes
8918082	Biotechnology					
8918082	Therapeutics					
8300602	Biochemistry					
8300602	Biomedical Engineering					
8309273	Biotechnology					
8309273	Genetic Engineering					
7805924	Monitoring, Physiologic					
7805924	Telemetry					
0430774	Biometry					
0430774	Monitoring, Physiologic					
0430774	Telemetry					
8903031	Biological Products					
100883596	Bipolar Disorder	yes	12.0	yes	yes	yes
8302042	Obstetrics	yes	12.0	yes	yes	yes
8302042	Perinatal Care	yes	12.0	yes	yes	yes
0003403	Congenital Abnormalities					
101701004	Congenital Abnormalities	yes			yes	yes
101701004	Teratology	yes			yes	yes
101155107	Congenital Abnormalities					
101155107	Teratology					
101155115	Abnormalities, Drug-Induced					
101155115	Mutagens					
101155115	Reproduction					
101155115	Teratogens					
101167665	Embryo, Mammalian					
9306676	Labor, Obstetric					
9306676	Midwifery					
9306676	Obstetrics					
7603013	Naval Medicine					
0242245	Plants, Medicinal					
7802786	Tropical Medicine					
0370627	Biology					
0370627	Medicine					
0370627	Research					
7503320	Biology					
8003723	Cardiology					
0025435	Education, Medical					
0025435	Research					
100935741	Obstetrics	yes	12.0	yes	yes	yes
100935741	Pregnancy Complications	yes	12.0	yes	yes	yes
9011426	Radiology					
101722685	Surgical Procedures, Operative	yes	0.0	yes		
100886721	Female Urogenital Diseases	yes	12.0	yes	yes	yes
100886721	Genital Diseases, Male	yes	12.0	yes	yes	yes
100886721	Male Urogenital Diseases	yes	12.0	yes	yes	yes
100886721	Urologic Diseases	yes	12.0	yes	yes	yes
0373120	Dentistry					
7603509	Hematology	yes	12.0	yes	yes	yes
101698425	Hematologic Diseases	yes	0.0	yes		
101698425	Hematology	yes	0.0	yes		
101568469	Hematologic Neoplasms	yes	0.0	yes		
7513567	Blood Cells					
7513567	Hematology					
9509932	Blood	yes	12.0	yes	yes	yes
9509932	Blood Cells	yes	12.0	yes	yes	yes
9509932	Hematologic Diseases	yes	12.0	yes	yes	yes
9102551	Blood Coagulation	yes	12.0	yes	yes	yes
9102551	Fibrinolysis	yes	12.0	yes	yes	yes
9102551	Hemostasis	yes	12.0	yes	yes	yes
9102551	Thrombosis	yes	12.0	yes	yes	yes
9301454	Blood Pressure	yes	0.0	yes		
9301454	Hypertension	yes	0.0	yes		
9606438	Blood Pressure Determination	yes	12.0	yes	yes	yes
9606438	Blood Pressure Monitoring, Ambulatory	yes	12.0	yes	yes	yes
9606438	Blood Pressure Monitors	yes	12.0	yes	yes	yes
9606438	Hypertension	yes	12.0	yes	yes	yes
9300787	Blood Pressure					
9300787	Hypertension					
8402040	Hematology	yes	0.0	yes	yes	yes
8402040	Renal Dialysis	yes	0.0	yes	yes	yes
8402040	Ultrafiltration	yes	0.0	yes	yes	yes
8708558	Hematology	yes	12.0	yes	yes	yes
101237479	Blood Transfusion					
0427130	Blood Vessels					
0427130	Lymphatic System					
7501729	Insurance, Health					
7501729	Insurance, Hospitalization					
0173401	Hematology					
0372531	Accidents, Traffic					
0372531	Alcoholic Intoxication					
0372531	Jurisprudence					
101465334	Biochemistry					
101465334	Molecular Biology					
100968535	Anesthesia	yes	0.0	yes		
100968535	Anesthesiology	yes	0.0	yes		
100968535	Anesthetics	yes	0.0	yes		
101084098	Biochemistry					
100965194	Computational Biology	yes	0.0	yes		
101190720	Biology	yes	0.0	yes		
101190720	Biomedical Research	yes	0.0	yes		
101088663	Biotechnology	yes	0.0	yes		
100967800	Neoplasms	yes	0.0	yes		
100968539	Cardiovascular Diseases	yes	0.0	yes		
100966972	Cell Physiological Phenomena					
100966972	Cells					
100966972	Cytological Techniques					
101088667	Drug Therapy					
101088667	Pharmaceutical Preparations					
101088667	Pharmacology, Clinical					
101088661	Complementary Therapies					
101761232	Complementary Therapies					
100968541	Skin Diseases					
100966973	Developmental Biology					
101088674	Ecology					
101088674	Environment					
101088674	Population					
101775613	Biological Evolution	yes	0.0	yes		
101775613	Ecology	yes	0.0	yes		
101775613	Environment	yes	0.0	yes		
101775613	Evolution, Molecular	yes	0.0	yes		
101775613	Population	yes	0.0	yes		
100968543	Emergencies	yes	0.0	yes		
100968543	Emergency Medical Services	yes	0.0	yes		
100968543	Emergency Treatment	yes	0.0	yes		
100968543	Wounds and Injuries	yes	0.0	yes		
101088676	Diagnostic Techniques, Endocrine	yes	0.0	yes		
101088676	Endocrine System Diseases	yes	0.0	yes		
100966975	Biological Evolution					
100966975	Evolution, Molecular					
100967792	Community Health Services	yes	0.0	yes		
100967792	Family Practice	yes	0.0	yes		
100967792	Primary Health Care	yes	0.0	yes		
100968547	Biliary Tract Diseases	yes	0.0	yes		
100968547	Gastrointestinal Diseases	yes	0.0	yes		
100968547	Liver Diseases	yes	0.0	yes		
100968547	Molecular Biology	yes	0.0	yes		
100966978	Genetic Techniques					
100966978	Genetics					
101775394	Databases, Genetic	yes	0.0	yes		
101775394	Genomics	yes	0.0	yes		
100965258	Base Sequence	yes	0.0	yes		
100965258	Chromosome Mapping	yes	0.0	yes		
100965258	Genetic Techniques	yes	0.0	yes		
100965258	Genomics	yes	0.0	yes		
100965258	Sequence Analysis, DNA	yes	0.0	yes		
100968548	Geriatrics	yes	0.0	yes		
101088677	Health Services Research	yes	0.0	yes		
100966980	Immune System	yes	0.0	yes		
100966980	Immune System Diseases	yes	0.0	yes		
100966980	Immunity	yes	0.0	yes		
100966980	Immunologic Techniques	yes	0.0	yes		
100968551	Communicable Diseases	yes	0.0	yes		
100968551	Sexually Transmitted Diseases	yes	0.0	yes		
101088678	Delivery of Health Care					
101088678	Developing Countries					
101088678	Global Health					
101088678	Human Rights					
101190723	Medicine	yes	0.0	yes		
101088679	Education, Medical, Continuing	yes	0.0	yes		
101088679	Education, Medical, Graduate	yes	0.0	yes		
101088679	Education, Medical, Undergraduate	yes	0.0	yes		
101088680	Ethics	yes	0.0	yes		
101088680	Ethics, Clinical	yes	0.0	yes		
101088680	Ethics, Medical	yes	0.0	yes		
100968552	Genetic Diseases, Inborn					
100968552	Genetics, Medical					
101319628	Genetics, Medical	yes	0.0	yes		
101319628	Genomics	yes	0.0	yes		
100968553	Diagnostic Imaging	yes	0.0	yes		
101088682	Decision Making	yes	0.0	yes		
101088682	Medical Informatics	yes	0.0	yes		
100968545	Health Services Research	yes	0.0	yes		
100966981	Microbiological Techniques	yes	0.0	yes		
100966981	Microbiology	yes	0.0	yes		
100966983	Molecular Biology					
101741148	Cell Biology	yes	0.0	yes		
101741148	Cell Physiological Phenomena	yes	0.0	yes		
101741148	Molecular Biology	yes	0.0	yes		
100968565	Musculoskeletal Diseases	yes	0.0	yes		
100967793	Kidney Diseases	yes	0.0	yes		
100968555	Nervous System Diseases	yes	0.0	yes		
100966986	Nervous System	yes	0.0	yes		
100966986	Neurologic Manifestations	yes	0.0	yes		
100967802	Eye Diseases	yes	0.0	yes		
101088684	Mouth Diseases	yes	0.0	yes		
101088684	Tooth Diseases	yes	0.0	yes		
101088685	Hospice Care	yes	0.0	yes		
101088685	Palliative Care	yes	0.0	yes		
100967804	Pediatrics	yes	0.0	yes		
100967806	Pharmaceutical Preparations					
101590449	Pharmaceutical Preparations	yes	0.0	yes		
101590449	Pharmacology, Clinical	yes	0.0	yes		
101590449	Toxicology	yes	0.0	yes		
101088687	Physiology					
100967807	Botany	yes	0.0	yes		
100967807	Plants	yes	0.0	yes		
100967799	Labor, Obstetric	yes	0.0	yes		
100967799	Obstetric Surgical Procedures	yes	0.0	yes		
100967799	Pregnancy	yes	0.0	yes		
100967799	Pregnancy Complications	yes	0.0	yes		
100968559	Mental Disorders	yes	0.0	yes		
101627676	Behavioral Research	yes	0.0	yes		
101627676	Psychology	yes	0.0	yes		
100968562	Epidemiology	yes	0.0	yes		
100968562	Public Health	yes	0.0	yes		
100968563	Lung Diseases	yes	0.0	yes		
101462768	Biology	yes	0.0	yes		
101462768	Biomedical Research	yes	0.0	yes		
101462768	Medicine	yes	0.0	yes		
101088689	Macromolecular Substances					
101088689	Models, Structural					
101088689	Molecular Biology					
100968567	General Surgery	yes	0.0	yes		
100968567	Surgical Procedures, Operative	yes	0.0	yes		
101301827	Models, Biological					
101301827	Systems Biology					
100968571	Urologic Diseases	yes	0.0	yes		
101249759	Animal Diseases	yes	0.0	yes		
101088690	Genital Diseases, Female	yes	0.0	yes		
101088690	Women's Health	yes	0.0	yes		
8900488	Medicine	yes	0.0	yes		
101526291	Medicine	yes	0.0	yes	yes	yes
101294314	Evidence-Based Medicine					
101294314	United Kingdom					
101719009	Evidence-Based Medicine	yes	0.0	yes	yes	yes
101685275	Global Health	yes	0.0	yes		
101685275	Healthcare Disparities	yes	0.0	yes		
101745500	Medical Informatics	yes	0.0	yes		
101761581	Military Medicine	yes	0.0	yes	yes	yes
101552874	Medicine	yes	0.0	yes		
101641391	Diabetes Mellitus	yes	0.0	yes		
101660690	Gastroenterology	yes	0.0	yes		
101660690	Gastrointestinal Diseases	yes	0.0	yes		
101710381	Quality Assurance, Health Care	yes	0.0	yes		
101638061	Respiratory Therapy	yes	0.0	yes		
101638061	Respiratory Tract Diseases	yes	0.0	yes		
101546984	Quality Assurance, Health Care	yes	0.0	yes	yes	yes
101546984	Safety	yes	0.0	yes	yes	yes
101715577	Contraception	yes	0.0	yes	yes	yes
101715577	Reproductive Health	yes	0.0	yes	yes	yes
101715577	Reproductive Medicine	yes	0.0	yes	yes	yes
101715577	Sexual Health	yes	0.0	yes	yes	yes
101565123	Hospice Care	yes	0.0	yes	yes	yes
101565123	Palliative Care	yes	0.0	yes	yes	yes
0120774	Medicine					
101222431	Body Image	yes	18.0	yes	yes	yes
9887196	Acquired Immunodeficiency Syndrome					
9887196	HIV Infections					
9887196	Patient Participation					
17410030R	Medicine					
17410030R	Military Medicine					
15620550R	Tuberculosis					
15620560R	Tuberculosis					
14490290R	Science					
7504608	Medicine					
14490470R	General Surgery					
14650300R	Medicine					
7505278	Pediatric Dentistry					
7505267	Medicine					
15330340R	Medicine					
15330420R	Medicine					
0063742	Nursing					
58130170R	Bibliographies as Topic					
58130170R	Catalogs, Library					
15630180R	Communicable Diseases					
15630180R	Microbiology					
15630180R	Parasitic Diseases					
7505254	Medicine					
2984728R	Parasites					
2984728R	Parasitic Diseases					
7505270	Argentina					
7505270	Societies, Dental					
16220620R	Medicine					
15630200R	Medicine					
18330790R	Medicine					
9427243	Clinical Medicine					
